position,discord_id,username,insc_held,balance,mined,exact_guesses,max_reward,fav_glyph,lucky_glyph
652,1208412418942959638,^^,1,9493,33,1,3813,"ᛏ","ᚺ"
653,1203001748017381406,"Web Crafter",1,9488,33,1,3879,"ᛏ","ᛃ"
654,1023804363644338217,rahad01duke,1,9486,19,1,3515,"ᛜ","ᚺ"
655,731548293905252472,viki3555,1,9476,19,1,5696,"ᛊ","ᛊ"
656,828301534969856019,namansingh,1,9468,12,1,6716,"ᚺ","ᚱ"
657,453085573037555743,King,1,9467,32,1,4245,"ᛇ","ᚱ"
658,1061876414284054649,"udaygarg14 | Inspect 2.0",1,9452,18,1,4591,"ᚾ","ᛟ"
659,925440081249075252,TechNerd,1,9444,13,1,5696,"ᛊ","ᛊ"
660,1062312420896419840,ardio,1,9428,33,1,3358,"ᛉ","ᛇ"
661,1095533682921582623,"Ankul8090 full force",1,9428,25,1,4591,"ᚺ","ᚦ"
662,956519624940355606,cockerqx,1,9412,33,1,2472,"ᚠ","ᚺ"
663,956519698093191228,rogue4407,1,9412,33,1,2472,"ᚠ","ᚺ"
664,825347046046826546,hussain42,1,9399,15,1,6923,"ᛈ","ᚢ"
665,824622889063677962,"Robinson(🪱,🔅)",1,9390,11,1,7894,"ᛒ","ᛒ"
666,698789925964873768,Masghar12,1,9379,19,2,3813,"ᚺ","ᚺ"
667,951364276038295582,Raju55,1,9374,10,1,5696,"ᚠ","ᛊ"
668,1206539711213211648,Guploo,1,9365,16,1,6716,"ᚠ","ᚱ"
669,938407851175575563,gigip7049,1,9363,4,1,8035,"ᛉ","ᛉ"
670,932369134430355536,Baetlanyuh,1,9355,34,1,2472,"ᚠ","ᚺ"
671,933478549883617341,nasananyui,1,9355,34,1,2472,"ᚠ","ᚺ"
672,956502304838807592,cloun1zm.,1,9355,34,1,2472,"ᚠ","ᚺ"
673,956504350933528597,qewog,1,9355,34,1,2472,"ᚠ","ᚺ"
674,956520717208408066,uzukiokonardeli,1,9355,34,1,2472,"ᚠ","ᚺ"
675,1066736425577488435,"Khataiau | Suiswap",1,9353,22,1,4245,"ᚠ","ᚱ"
676,950309136199991296,"Venkat K",1,9351,24,1,4687,"ᛜ","ᛖ"
677,919858071872880662,Namrath,1,9346,20,2,3879,"ᛇ","ᛇ"
678,956523592840015922,chestclassique,1,9308,33,1,2472,"ᚠ","ᚺ"
679,532213443126886420,Vicky7276,1,9299,31,1,3214,"ᛈ","ᛃ"
680,912188639428096092,"ranjeeth singh",1,9286,29,1,3358,"ᛈ","ᛇ"
681,958387678393532467,"Hayati 🟣 Unblocked | Web3Go",1,9285,21,1,5696,"ᛊ","ᛊ"
682,918058006330081311,"Rishi || link3 | Web3Go",1,9270,32,1,2884,"ᚹ","ᛉ"
683,1163718246692814869,UsmanJavaid,1,9262,3,1,8823,"ᛁ","ᚦ"
684,871653269070544967,raju_gg,1,9256,17,1,4017,"ᚠ","ᚢ"
685,402684929563164684,Mrn,1,9255,34,1,2083,"ᚷ","ᚷ"
686,1024525914245185546,Shivam405,1,9254,30,1,4687,"ᛈ","ᛖ"
687,1092762128403939419,Alex,1,9245,30,1,3308,"ᚨ","ᚦ"
688,828668730614874182,"Krishan kant",1,9231,33,1,3358,"ᛒ","ᛇ"
689,594882080933019652,"gaffar | Web3Go",1,9227,32,1,3308,"ᛇ","ᚦ"
690,1022551575903875082,Sky...,1,9211,30,1,4591,"ᛈ","ᛟ"
691,914493093435293736,Mahesh,1,9203,34,0,0,"ᛏ",
692,503522050644901889,aptosbullinslghts,1,9198,28,1,4591,"ᚹ","ᚦ"
693,1029431607179890808,bradsmith7010,1,9195,20,1,7031,"ᚺ","ᚾ"
694,844951848665874492,abhi280225,1,9182,25,1,4687,"ᛒ","ᚱ"
695,777408627207045151,Rezaul,1,9181,18,1,4591,"ᚷ","ᚦ"
696,841514911674400779,Rohit7081,1,9181,31,1,3358,"ᚾ","ᛇ"
697,976421838945132554,Banty55,1,9156,4,1,8035,"ᛜ","ᛉ"
698,1074924951854907432,kokoJO,1,9124,34,1,3358,"ᛇ","ᛇ"
699,1182237756215279677,"Mia Khalifa",1,9095,2,1,8823,"ᛚ","ᚦ"
700,921633939041447967,Ibrahim12,1,9081,9,1,6923,"ᚲ","ᚢ"
701,1164058580362743918,Gollookhg,1,9075,28,1,3629,"ᛜ","ᛞ"
702,1110037710925733888,Rithik,1,9071,9,1,5696,"ᛜ","ᛊ"
703,1051451781584003073,"shadow6766 🕵",1,9070,22,1,6716,"ᛈ","ᚱ"
704,1073104060972011560,Ohiharman,1,9066,20,1,4591,"ᛖ","ᚦ"
705,1212802685338648599,Bhaskar,1,9022,18,1,5696,"ᛊ","ᛊ"
